WBodyID	WaterBodyName	DataSource	StationID	StationName	Actual_StationID	Actual_Latitude	Actual_Longitude	DEP_WBID	SampleDate	ActivityDepth	DepthUnits	Parameter	Characteristic	Sample_Fraction	Result_Value	Result_Unit	QACode	Result_Comment	Original_Result_Value	Original_Result_Unit
21007	Manatee River Estuary	WIN_21FLMANA	="431"	 431	="431"	27.5112	-82.5979	1848A	2/13/2018 3:17:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	4.2	ug/l	""		4.2	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="431"	 431	="431"	27.5112	-82.5979	1848A	5/9/2018 2:44:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	6.4	ug/l	""		6.4	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="431"	 431	="431"	27.5112	-82.5979	1848A	8/7/2018 12:41:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	34.6	ug/l	""		34.6	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="431"	 431	="431"	27.5112	-82.5979	1848A	11/29/2018 2:19:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	4	ug/l	""		4.0	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="431"	 431	="431"	27.5112	-82.5979	1848A	2/6/2019 1:38:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	5.4	ug/l	""		5.4	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="431"	 431	="431"	27.5112	-82.5979	1848A	5/29/2019 8:41:00 AM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	3.1	ug/l	""		3.1	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="431"	 431	="431"	27.5112	-82.5979	1848A	8/20/2019 3:04:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	11.4	ug/l	""		11.4	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="431"	 431	="431"	27.5112	-82.5979	1848A	11/5/2019 1:10:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	7.3	ug/l	""		7.3	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="431"	 431	="431"	27.5112	-82.5979	1848A	2/19/2020 1:11:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	7.7	ug/l	""		7.7	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="431"	 431	="431"	27.5112	-82.5979	1848A	5/20/2020 3:29:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	5.4	ug/l	""		5.4	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="431"	 431	="431"	27.5112	-82.5979	1848A	8/11/2020 2:17:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	16.6	ug/l	""		16.6	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="431"	 431	="431"	27.5112	-82.5979	1848A	12/9/2020 2:44:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	6.9	ug/l	""		6.9	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="431"	 431	="431"	27.51119720	-82.59793880	1848A	3/2/2021 1:51:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	2	ug/l	""		2	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="431"	 431	="431"	27.51119720	-82.59793880	1848A	4/28/2021 2:35:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	4.4	ug/l	""		4.4	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="431"	 431	="431"	27.51119720	-82.59793880	1848A	6/16/2021 2:51:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	10	ug/l	""		10	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="431"	 431	="431"	27.51119720	-82.59793880	1848A	8/9/2021 12:00:00 AM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	12.4	ug/l	""		12.4	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="431"	 431	="431"	27.51119720	-82.59793880	1848A	11/4/2021 12:00:00 AM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	7.6	ug/l	""		7.6	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="431"	 431	="431"	27.51119720	-82.59793880	1848A	2/23/2022 12:00:00 AM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	2	ug/l	"I"		2	mg/m3
